Beer Name,ABV,IBU,Style
Lavender Skies,9%,51,Saison/Farmhouse Ale
The Suffolk Brunch,6%,33,Stout
Little Dorrit,10.20%,50,Barleywine
Citrus Savvy,5.35%,32,Pale Wheat Ale
Hyde In The Plaza,6.01%,31,IPA
The Pot's Crock,7%,33,Stout
William Makesbeer,7%,55,Strong Ale
Alorah Maple Ale,8.40%,45,Old Ale
The Unruly Pig,6.10%,48,Extra Special
The Belligerent Blonde,4.30%,20,Blonde Ale
Dear Old Blighty,3.80%,15,English Mild Ale
Huell Is In Session,4.10%,34,Session IPA
New Bern Brown,5.45%,10,English Brown Ale
Hidden Jewel,5.02%,20,English Bitter
Backwoods Pale Ale,6.90%,35,American Pale Ale
Belgian Table Beer,4.20%,10,Table Beer
Perfect Lines,5.90%,42,American IPA
Citraphilia,6.40%,65,American IPA
Dat Pale,5.20%,50,American Pale Ale
Laughing Yogi,4.80%,12,Belgian Pale Ale
Tropicalus,6%,70,White IPA
Life In The South,4.50%,25,American Light Lager
Booty Call,8.70%,80,Imperial Double IPA
Burn Down Brown,5%,27,English Brown Ale
Mountain Candy,7.50%,,IPA
Countryside,6%,,American IPA
Southern Girl,5.10%,45,Blonde Ale
Sun Grown,4.80%,,Fresh Craft Lager
Citropica,6.80%,60,IPA
Rainbow Dust,7.10%,,IPA
Strawberry Lemonade,4.80%,,Gose
Watermelon Kolsch,,,Kolshe
Gourd Have Mercy,6.20%,,Pumpkin Amber
Naughty Bear,7%,,Winter Ale
Golden Boy,4.50%,23,Blonde Ale
Zest-A-Peel,5.20%,10,Ale
Light Rail,4.50%,40,Pale Ale
3C,6.20%,70,IPA
Baby Maker,8.50%,80,Double IPA
Grill Friend,5.50%,29,Smoked Amber Ale
Clt-Mo,5.60%,40,Pale Ale
Urban Hop Project,6.10%,65,Fresh Hop IPA
Crane City,4.40%,40,Session IPA
The Double Imbibes,9.50%,32,BBA Coffee Stout
Hyzer,5.20%,23,Hefeweizen
NC Nector,6.60%,15,Honey Blonde Ale
Session 7,4.80%,52,Session IPA
Cajun Stout,5.60%,21,Stout
Sal's Paradise,5.30%,32,Saison
Chocolate Covered Pretzel Stout,9.20%,32,Stout
The Force,8.80%,30,RBA Belgian Tripel
